qdrant_cosine_distance,neo4j_cosine_distance,usual_cosine_distance,simple_search_cosine_distance,qdrant_cosine_similarity,neo4j_cosine_similarity,usual_cosine_similarity,simple_search_cosine_similarity
0.2509426691419381,0.3634829033892502,0.2345585127479681,0.2082855491940051,0.7490573308580619,0.6365170966107497,0.7654414872520318,0.7917144508059949
0.3542949401485804,0.4552113801581786,0.469818227822264,0.3449906263348719,0.6457050598514196,0.5447886198418214,0.5301817721777359,0.6550093736651281
0.45148608494656867,0.5761707839279301,0.5044721701764109,0.4611082508902371,0.5485139150534313,0.4238292160720699,0.495527829823589,0.5388917491097629
0.42551886327770166,0.5147176373866104,0.4852889284248773,0.4114861885280664,0.5744811367222983,0.4852823626133896,0.5147110715751225,0.5885138114719336
0.2652653317566977,0.3801474334198058,0.2843958806462071,0.9617698352004216,0.7347346682433022,0.6198525665801942,0.7156041193537929,0.0382301647995785
0.3706494922069123,0.4768872340517861,0.4520779019581024,0.3920794213102431,0.6293505077930877,0.5231127659482139,0.5479220980418975,0.6079205786897569
0.5328292051639417,0.6395660206365869,0.7664047106861864,0.6715909629293806,0.4671707948360582,0.3604339793634131,0.2335952893138136,0.3284090370706194
0.37078284891222796,0.4668319276982288,0.4459801003901671,0.3410974416362295,0.629217151087772,0.5331680723017712,0.5540198996098328,0.6589025583637704
0.3455815125112718,0.4398486213107259,0.3581263941274885,0.2789648181245185,0.6544184874887282,0.5601513786892741,0.6418736058725114,0.7210351818754814
0.2770016634544303,0.3850972027069971,0.3314901027432821,0.2740584228432076,0.7229983365455697,0.6149027972930029,0.6685098972567178,0.7259415771567924
0.4979737210926314,0.6131982171319362,0.5361425991081629,0.4967844165706194,0.5020262789073686,0.3868017828680636,0.4638574008918372,0.5032155834293806
0.3469208608531338,0.4398273140419563,0.3994804334260322,0.3804905156337204,0.6530791391468662,0.5601726859580437,0.6005195665739678,0.6195094843662796
0.39883199667414126,0.4944155630106616,0.4446017828014516,0.3917024918136692,0.6011680033258587,0.5055844369893384,0.5553982171985483,0.6082975081863308
0.6277900972351201,0.7733415990141904,0.6898429396115392,0.657787424148994,0.3722099027648798,0.2266584009858095,0.3101570603884608,0.3422125758510059
0.5860012939199352,0.7269224144378296,0.7263947383650011,0.678443768673214,0.41399870608006484,0.2730775855621703,0.2736052616349989,0.321556231326786
0.3677254777108871,0.4910796527857308,0.44988996125892,0.4083165911016541,0.6322745222891129,0.5089203472142692,0.5501100387410799,0.5916834088983459
0.4298211984809926,0.5791592290801731,0.4812249037301845,0.4863829461119849,0.5701788015190073,0.4208407709198268,0.5187750962698154,0.513617053888015
0.613628822711392,0.683143800691543,0.6023455162336564,0.6639915833857664,0.38637117728860804,0.3168561993084569,0.3976544837663436,0.3360084166142337
0.4417295095527833,0.6331604822164092,0.5645039170915922,0.4337756817826663,0.5582704904472167,0.3668395177835908,0.4354960829084078,0.5662243182173337
0.5001147178026115,0.6473789607815214,0.6038436439488746,0.9273493195676092,0.49988528219738854,0.3526210392184786,0.3961563560511254,0.0726506804323908
